S.no,Title,Authors,Year,Snippets,DOI,ArticleURL
1,"Reaction of fungal products with amebocyte lysates of the Japanese horseshoe crab, Tachypleus tridentatus","DS Hodes, D Heon, A Hass, AC Hyatt…",1987,"… , Tachypleus tridentatus, gave a positive result with aqueous … amebocyte lysates of the American horseshoe crab, Limulus … glucans activate the Tachypleus amebocyte lysate system by …",10.1128/jcm.25.9.1701-1704.1987,https://journals.asm.org/doi/abs/10.1128/jcm.25.9.1701-1704.1987
2,"In vivo immunostimulatory effect of the amoebocyte lysate and plasma of Asian horseshoe crab, Tachypleus gigas in a piscine model","SK Nayak, PK Nanda, P Swain",2021,"… Consequently, this investigation was carried out to explore the immunostimulatory effect of amoebocyte lysate and the plasma of Asian horseshoe crab, T. gigas in the piscine immune …",10.1007/s42995-021-00090-2,https://link.springer.com/article/10.1007/s42995-021-00090-2
3,A Clottable Protein (Coagulogen) from Amoebocyte Lysate of Japanese Horseshoe Crab (Tachypleus tridentatus). Its Isolation and Biochemical Properties,"S Nakamura, S IWANAGA, T HARADA…",1976,"… to the coagulation of Limulus amoebocyte lysate has recently … coagulation system in Limulus amoebocytes in comparison … from the amoebocyte lysate of Limulus polyphemus, which …",,https://academic.oup.com/jb/article-abstract/80/5/1011/773864
4,Separation of Large and Small Granules from Horseshoe Crab (Tachypleus tridentatus) Hemocytes and Characterization of Their Components1,"T Shigenaga, Y Takayenoki, S Kawasaki…",1993,"… mediated by nese horseshoe crab (Tachypleus tridentatus), … , coagulogen (13, 14), all of which constitute the limulus … tridentatus) coagulation cascade, are localized in the L-granules…",,https://academic.oup.com/jb/article-abstract/114/3/307/923825
5,Enhanced immunity and hemocytes proliferation by three immunostimulants in tri-spine horseshoe crab Tachypleus tridentatus,"X Liu, Z Xu, X Chang, JKH Fang, J Song, J He…",2021,"… Tachypleus amebocyte lysate (TAL) is internationally recognized as the most sensitive … has shown horseshoe crab resource-driven characteristics [1]. Tachypleus tridentatus, also …",,https://www.sciencedirect.com/science/article/pii/S1050464821001625
6,The Horseshoe Crab Tachypleus tridentatus has Two Kinds of Hemocytes: Granulocytes and Plasmatocytes,"PP Jakobsen, P Suhr-Jessen",1990,… from the horseshoe crab Tachypleus tridentatus is investigated … The fine structure of the amebocyte in the blood of Limulus po… The amebocyte cytoskeleton: a morphological analysis of …,10.2307/1541537,https://www.journals.uchicago.edu/doi/abs/10.2307/1541537
7,Further Studies on the Chromogenic Substrate Assay Method for Bacterial Endotoxins Using Horseshoe Crab (Tachypleus tridentatus) Hemocyte Lysate,"T Harada-Suzuki, T MORITA…",1982,"… , using the amebocyte lysate. The present results indicate that under certain conditions, the chromogenic substrate method is fiftytimes more sensitive than the ordinary Limulus gelation …",,https://academic.oup.com/jb/article-abstract/92/3/793/814154
8,Effects of diet on the biochemical properties of Limulus amebocyte lysate from horseshoe crabs in an aquaculture setting,"R Tinker-Kulberg, A Dellinger, TE Brady…",2020,… The Limulus amebocyte lysate (LAL) isolated from cells in the horseshoe crab (HSC) hemolymph is a critical resource for global biomedical and pharmaceutical quality control and …,10.3389/fmars.2020.541604,https://www.frontiersin.org/articles/10.3389/fmars.2020.541604/full
9,Purification and characterization of a (1→ 3)-β-d-glucan-binding protein from horseshoe crab (Tachypleus tridentatus) amoebocytes,"H Tamura, S Tanaka, T Oda, Y Uemura…",1996,"… , Limulus polyphemus. Later, Iwanaga et al. [2], using an amoebocyte lysate of the Japanese horseshoe crab, Tachypleus tridentatus, established the biochemical mechanism of the …",,https://www.sciencedirect.com/science/article/pii/S0008621596901287
10,Research Progress and Prospect of Tachypleus Amebocyte Lysate in China,"C Liu, X Liu, Y Wang, J Song, J He, Z Tai, Q Zhu…",2022,"… Tachypleus amebocyte lysate (TAL) is extracted from the blood of the Tachypleus tridentatus species, while LAL is extracted from the blood of the Limulus polyphemus species. It should …",10.1007/978-3-030-82315-3_39,https://link.springer.com/chapter/10.1007/978-3-030-82315-3_39
11,"Two types of hemocytes in localization of clottable protein in Japanese horseshoe crab, Tachypleus tridentatus","F Shishikura, J Chiba…",1977,"… hemocytes of Tachypleus tridentatus. cytoplasmic granules of some hemocytes as reported in Limulus polyphemus, but such cells were a minority of the hemocytes. In the majority of the …",10.1002/jez.1402010214,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.1402010214
12,Development of methodology and reference intervals for the analysis of the free‐ranging Atlantic horseshoe crab Limulus polyphemus hemolymph,"JE Arnold, CA Hadfield, LA Clayton…",2021,"… While free-ranging horseshoe crab populations are currently … preparation of the Limulus amebocyte lysate, an extract that is … two Asian horseshoe crab species, Tachypleus tridentatus, …",10.1111/vcp.12983,https://onlinelibrary.wiley.com/doi/abs/10.1111/vcp.12983
